
fracton of data,number of trees,accuracy
[0.1, 8, 0.49102565494514699]
[0.1, 64, 0.68817642794209499]
[0.1, 32, 0.64443173052817737]
[0.1, 64, 0.69446438788697296]
[0.1, 128, 0.71075388335220824]
[0.1, 8, 0.48102632352099634]
[0.1, 16, 0.5791885644305077]
[0.1, 32, 0.64075048169706261]
[0.1, 64, 0.68230418503175416]
[0.1, 128, 0.70746116770241496]
[0.1, 256, 0.72745174886462505]
[0.2, 8, 0.55879134450563028]
[0.2, 16, 0.64843164843164847]
[0.2, 32, 0.72085557799843514]
[0.2, 64, 0.75478625478625472]
[0.2, 128, 0.78114478114478114]
[0.2, 256, 0.79264500693072115]
[0.4, 8, 0.63410949419831142]
[0.4, 16, 0.71899919509660615]
[0.4, 32, 0.77789375259894877]
[0.4, 64, 0.81546280894126288]
[0.4, 128, 0.83478495723255886]
[0.4, 256, 0.84492960938417527]
[0.8, 8, 0.70032775324140739]
[0.8, 16, 0.78211223297928778]
[0.8, 32, 0.83225455226886669]
[0.8, 64, 0.8624138261582166]
[0.8, 128, 0.87682432719515413]
[0.8, 256, 0.88412737174071954]
[1, 8, 0.71966118804768842]
[1, 16, 0.79530300889362349]
[1, 32, 0.84361656524099304]
[1, 64, 0.8722590183137624]
[1, 128, 0.88727306770826952]
[1, 256, 0.89361583832298663]
